latitude,longitude,storeNumber,addressLocality,addressRegion,streetAddress,postalCode
44.89056,-94.369224,374866,Hutchinson,MN,111 Minnesota Rd,55350
48.58936,-93.4025553,389092,International Falls,MN,1623 2nd Ave,56649
44.853048,-93.045095,94935,Inver Grove Heights,MN,6635 Cahill Ave,55076-2067
44.670508,-93.637953,158872,Jordan,MN,225 Triangle Ln N,55352
44.024331,-92.748266,666554,Kasson,MN,501 S Mantorville Ave,55944
44.069991,-92.7581252,262644,Kasson,MN,101 8th St Se,55944
44.690173,-93.282554,28445,Lakeville,MN,17823 Kenwood Trl,55044-9493
44.46155,-93.915114,54213,Le Sueur,MN,113 N Main St,56058-1804
45.0098861,-93.1037308,75242,Little Canada,MN,80 Minnesota Ave,55117
45.976434,-94.361102,282762,Little Falls,MN,107 2nd St NE,56345
44.985539,-93.572306,94420,Long Lake,MN,1865 W Wayzata Blvd,55356-9671
44.1740824,-93.996286,350317,Mankato,MN,814 N Riverfront Dr,56001
44.1450103,-93.9855919,377252,Mankato,MN,300 Stadium Rd,56001
45.103788,-93.452795,88016,Maple Grove,MN,13590 Grove Dr,55311-4400
45.139374,-93.403349,92271,Maple Grove,MN,10184 Lancaster Ln N,55369-3562
44.4503521,-95.77775,380168,Marshall,MN,1001 E College Dr,56258
44.975026,-93.2797074,48648,Minneapolis,MN,1113 Hennepin Ave,55403-1705
44.96257,-93.240383,52512,Minneapolis,MN,2211 E Franklin Ave,55404
44.9805,-93.3024,439020,Minneapolis,MN,1707 Glenwood Ave,55405
44.957636,-93.294854,46612,Minneapolis,MN,2441 Hennepin Ave S,55405-2605
44.9275,-93.2102,439021,Minneapolis,MN,4147 44th Ave S,55406
44.91687,-93.215756,769652,Minneapolis,MN,4735 Hiawatha Ave,55406
44.951799,-93.234513,54780,Minneapolis,MN,2801 S 26th Ave,55406-1528
44.918009,-93.21678,56447,Minneapolis,MN,4737 Hiawatha Ave,55406-3928
44.929578,-93.262624,53200,Minneapolis,MN,4054 Chicago Ave,55407
44.919909,-93.252791,617107,Minneapolis,MN,4552 Bloomington Ave,55407-3661
44.9483692,-93.2889947,50385,Minneapolis,MN,717 W Lake St,55408
44.934423,-93.278245,49893,Minneapolis,MN,3752 Nicollet Ave,55409
44.9303862,-93.3079932,695563,Minneapolis,MN,E Lake Harriet Blvd,55410
